	venue
0	World Wide Web
1	international world wide web conferences
2	international semantic web conference
3	Journal of Web Semantics
4	european semantic web conference
5	Artificial Intelligence
6	international joint conference on artificial intelligence
7	international conference on neural information processing
8	neural information processing systems
9	international conference on machine learning
10	Machine Learning
11	international conference on learning representations
12	Sigkdd Explorations
13	Data Mining and Knowledge Discovery
14	workshop on knowledge discovery and data mining
15	knowledge discovery and data mining
16	international conference on data mining
17	siam international conference on data mining
18	web search and data mining
19	Sigir Forum
20	international acm sigir conference on research and development in information retrieval
21	Information Retrieval
22	conference on information and knowledge management
23	Journal of Information & Knowledge Management
24	conference on recommender systems
25	Sigmod Record
26	international conference on management of data
27	conference on management of data
28	symposium on principles of database systems
29	Proceedings of The Vldb Endowment
30	The Vldb Journal
31	very large data bases
32	international conference on data engineering
33	extending database technology
34	ACM Sigchi Bulletin
35	human factors in computing systems
36	Human Factors
37	intelligent user interfaces
38	european conference on computer supported cooperative work
39	Computer Supported Cooperative Work
40	conference on computer supported cooperative work
41	user interface software and technology
42	Computational Linguistics
43	meeting of the association for computational linguistics
44	empirical methods in natural language processing
45	international conference on computational linguistics
46	north american chapter of the association for computational linguistics
47	computer vision and pattern recognition
48	international conference on computer vision
49	International Journal of Computer Vision
50	european conference on computer vision
51	acm special interest group on data communication
52	Computer Communications
53	international conference on computer communications
54	acm/ieee international conference on mobile computing and networking
55	acm ieee international conference on mobile computing and networking
56	architectural support for programming languages and operating systems
57	european conference on computer systems
58	operating systems design and implementation
59	symposium on operating systems principles
